release_num,release_name,release_year,musician_name,musician_instruments
ECM 1016,Terje Rypdal  ,1971,Bobo Stenson,electric piano
ECM 1016,Terje Rypdal  ,1971,Tom Halversen,electric piano
ECM 1016,Terje Rypdal  ,1971,Terje Rypdal,guitar
ECM 1016,Terje Rypdal  ,1971,Terje Rypdal,flute
ECM 1016,Terje Rypdal  ,1971,Bjornar Andresen,electric bass
ECM 1016,Terje Rypdal  ,1971,Arild Andersen,electric bass
ECM 1016,Terje Rypdal  ,1971,Arild Andersen,bass
ECM 1016,Terje Rypdal  ,1971,Jon Christensen,percussion
ECM 1016,Terje Rypdal  ,1971,Inger Lise Rypdal,voice
ECM 1017,Keith Jarrett - Facing You  ,1972,Keith Jarrett,piano
ECM 1018/19,Circle - Paris-Concert  ,1972,Anthony Braxton,reeds
ECM 1018/19,Circle - Paris-Concert  ,1972,Anthony Braxton,percussion
ECM 1018/19,Circle - Paris-Concert  ,1972,Chick Corea,piano
ECM 1018/19,Circle - Paris-Concert  ,1972,David Holland,bass
ECM 1018/19,Circle - Paris-Concert  ,1972,David Holland,cello
ECM 1018/19,Circle - Paris-Concert  ,1972,Barry Altschul,percussion
ECM 1020,"Chick Corea - Piano Improvisations, Vol. 2  ",1972,Chick Corea,piano
ECM 1021,"Keith Jarrett, Jack DeJohnette - Ruta And Daitya  ",1973,Keith Jarrett,piano
ECM 1021,"Keith Jarrett, Jack DeJohnette - Ruta And Daitya  ",1973,Keith Jarrett,electric piano
ECM 1021,"Keith Jarrett, Jack DeJohnette - Ruta And Daitya  ",1973,Keith Jarrett,organ
ECM 1021,"Keith Jarrett, Jack DeJohnette - Ruta And Daitya  ",1973,Keith Jarrett,flute
ECM 1021,"Keith Jarrett, Jack DeJohnette - Ruta And Daitya  ",1973,Jack DeJohnette,percussion
ECM 1022,Chick Corea - Return To Forever  ,1972,Joe Farrell,flute
ECM 1022,Chick Corea - Return To Forever  ,1972,Joe Farrell,soprano sax
ECM 1022,Chick Corea - Return To Forever  ,1972,Chick Corea,electric piano
ECM 1022,Chick Corea - Return To Forever  ,1972,Stan Clarke,electric bass
ECM 1022,Chick Corea - Return To Forever  ,1972,Stan Clarke,double bass
ECM 1022,Chick Corea - Return To Forever  ,1972,Airto Moreira,drums
ECM 1022,Chick Corea - Return To Forever  ,1972,Airto Moreira,percussion
ECM 1022,Chick Corea - Return To Forever  ,1972,Flora Purim,vocals
ECM 1022,Chick Corea - Return To Forever  ,1972,Flora Purim,percussion
ECM 1023,"Paul Bley - Open, To Love  ",1973,Paul Bley,piano
ECM 1024,"Gary Burton, Chick Corea - Crystal Silence  ",1973,Gary Burton,vibes
ECM 1024,"Gary Burton, Chick Corea - Crystal Silence  ",1973,Chick Corea,piano
ECM 1025,Ralph Towner With Glen Moore - Trios/Solos  ,1973,Ralph Towner,guitar
ECM 1025,Ralph Towner With Glen Moore - Trios/Solos  ,1973,Ralph Towner,piano
ECM 1025,Ralph Towner With Glen Moore - Trios/Solos  ,1973,Glen Moore,bass
ECM 1025,Ralph Towner With Glen Moore - Trios/Solos  ,1973,Collin Walcott,tabla
ECM 1026,Stanley Cowell Trio - Illusion Suite  ,1973,Stanley Cowell,piano
ECM 1026,Stanley Cowell Trio - Illusion Suite  ,1973,Stanley Clarke,bass
ECM 1026,Stanley Cowell Trio - Illusion Suite  ,1973,Jimmy Hopps,drums
ECM 1027,David Holland Quartet - Conference Of The Birds  ,1973,Sam Rivers,reeds
ECM 1027,David Holland Quartet - Conference Of The Birds  ,1973,Anthony Braxton,reeds
ECM 1027,David Holland Quartet - Conference Of The Birds  ,1973,Anthony Braxton,flute
ECM 1027,David Holland Quartet - Conference Of The Birds  ,1973,David Holland,bass
ECM 1027,David Holland Quartet - Conference Of The Birds  ,1973,Barry Altschul,percussion
ECM 1027,David Holland Quartet - Conference Of The Birds  ,1973,Barry Altschul,marimba
ECM 1028,Paul Motian - Conception Vessel  ,1973,Sam Brown,guitar
ECM 1028,Paul Motian - Conception Vessel  ,1973,Charlie Haden,bass
ECM 1028,Paul Motian - Conception Vessel  ,1973,Paul Motian,percussion
ECM 1029,"Jan Garbarek, Arild Andersen, Edward Vesala - Triptykon  ",1973,Jan Garbarek,soprano
ECM 1029,"Jan Garbarek, Arild Andersen, Edward Vesala - Triptykon  ",1973,Jan Garbarek,tenor sax
ECM 1029,"Jan Garbarek, Arild Andersen, Edward Vesala - Triptykon  ",1973,Jan Garbarek,flute
ECM 1029,"Jan Garbarek, Arild Andersen, Edward Vesala - Triptykon  ",1973,Jan Garbarek,baritone sax
ECM 1029,"Jan Garbarek, Arild Andersen, Edward Vesala - Triptykon  ",1973,Arild Andersen,bass
ECM 1029,"Jan Garbarek, Arild Andersen, Edward Vesala - Triptykon  ",1973,Edward Vesala,percussion
ECM 1030,Gary Burton - The New Quartet  ,1973,Gary Burton,vibes
ECM 1030,Gary Burton - The New Quartet  ,1973,Michael Goodrick,guitar
ECM 1030,Gary Burton - The New Quartet  ,1973,Abraham Laboriel,bass
ECM 1030,Gary Burton - The New Quartet  ,1973,Harry Blazer,drums
ECM 1031,Terje Rypdal - What Comes After  ,1974,Erik Niord Larsen,oboe
ECM 1031,Terje Rypdal - What Comes After  ,1974,Erik Niord Larsen,English horn
ECM 1031,Terje Rypdal - What Comes After  ,1974,Terje Rypdal,guitar
ECM 1031,Terje Rypdal - What Comes After  ,1974,Terje Rypdal,flute
ECM 1031,Terje Rypdal - What Comes After  ,1974,Barre Phillips,double bass
ECM 1031,Terje Rypdal - What Comes After  ,1974,Barre Phillips,piccolo bass
ECM 1031,Terje Rypdal - What Comes After  ,1974,Sveinung Hovensjo,electric bass
ECM 1031,Terje Rypdal - What Comes After  ,1974,Jon Christensen,percussion
ECM 1031,Terje Rypdal - What Comes After  ,1974,Jon Christensen,organ
ECM 1032,Ralph Towner - Diary  ,1974,Ralph Towner,12-string guitar
ECM 1032,Ralph Towner - Diary  ,1974,Ralph Towner,classical guitar
ECM 1032,Ralph Towner - Diary  ,1974,Ralph Towner,piano
ECM 1032,Ralph Towner - Diary  ,1974,Ralph Towner,gongs
ECM 1033/34,Keith Jarrett - In The Light  ,1974,Willi Freivogel,flute
ECM 1033/34,Keith Jarrett - In The Light  ,1974,String Section Of The Sudfunk Symphony Orchestra,Stuttgart
ECM 1033/34,Keith Jarrett - In The Light  ,1974,Mladen Gutesha,conductor
ECM 1033/34,Keith Jarrett - In The Light  ,1974,String Section Of The Sudfunk Symphony Orchestra,conductor
ECM 1033/34,Keith Jarrett - In The Light  ,1974,Keith Jarrett,composer
ECM 1035-37,Keith Jarrett - Solo-Concerts - Bremen/Lausanne  ,1973,Keith Jarrett,piano
ECM 1038,"Art Lande, Jan Garbarek - Red Lanta  ",1974,Jan Garbarek,flute
ECM 1038,"Art Lande, Jan Garbarek - Red Lanta  ",1974,Jan Garbarek,soprano
ECM 1038,"Art Lande, Jan Garbarek - Red Lanta  ",1974,Jan Garbarek,bass sax
ECM 1038,"Art Lande, Jan Garbarek - Red Lanta  ",1974,Art Lande,piano
ECM 1039,Dave Liebman - Lookout Farm  ,1974,Dave Liebman,soprano
ECM 1039,Dave Liebman - Lookout Farm  ,1974,Dave Liebman,tenor sax
ECM 1039,Dave Liebman - Lookout Farm  ,1974,Dave Liebman,alto C flute
ECM 1039,Dave Liebman - Lookout Farm  ,1974,Richard Beirach,electric
ECM 1039,Dave Liebman - Lookout Farm  ,1974,Richard Beirach,acoustic piano
ECM 1039,Dave Liebman - Lookout Farm  ,1974,Frank Tusa,electric
ECM 1039,Dave Liebman - Lookout Farm  ,1974,Frank Tusa,acoustic bass
ECM 1039,Dave Liebman - Lookout Farm  ,1974,Jeff Williams,drums
ECM 1039,Dave Liebman - Lookout Farm  ,1974,John Abercrombie,acoustic
ECM 1039,Dave Liebman - Lookout Farm  ,1974,John Abercrombie,electric guitar
ECM 1039,Dave Liebman - Lookout Farm  ,1974,Don Alias,congas
ECM 1039,Dave Liebman - Lookout Farm  ,1974,Don Alias,bongos
ECM 1039,Dave Liebman - Lookout Farm  ,1974,Steve Sattan,tambourine
ECM 1039,Dave Liebman - Lookout Farm  ,1974,Steve Sattan,cowbell
ECM 1039,Dave Liebman - Lookout Farm  ,1974,Badal Roy,tabla
ECM 1039,Dave Liebman - Lookout Farm  ,1974,Armen Halburian,percussion
ECM 1039,Dave Liebman - Lookout Farm  ,1974,Eleana Sternberg,voice
ECM 1040,Gary Burton - Seven Songs For Quartet And Chamber Orchestra  ,1974,Gary Burton,vibraharp
ECM 1040,Gary Burton - Seven Songs For Quartet And Chamber Orchestra  ,1974,Michael Goodrick,guitar
ECM 1040,Gary Burton - Seven Songs For Quartet And Chamber Orchestra  ,1974,Steve Swallow,bass
ECM 1040,Gary Burton - Seven Songs For Quartet And Chamber Orchestra  ,1974,Ted Seibs,drums
ECM 1040,Gary Burton - Seven Songs For Quartet And Chamber Orchestra  ,1974,Members Of The NDR-Symphony Orchestra,Hamburg
ECM 1040,Gary Burton - Seven Songs For Quartet And Chamber Orchestra  ,1974,Michael Gibbs,conductor
ECM 1040,Gary Burton - Seven Songs For Quartet And Chamber Orchestra  ,1974,Members Of The NDR-Symphony Orchestra,conductor
ECM 1040,Gary Burton - Seven Songs For Quartet And Chamber Orchestra  ,1974,Members Of The NDR-Symphony Orchestra,composer
ECM 1041,Jan Garbarek-Bobo Stenson Quartet - Witchi-Tai-To  ,1974,Jan Garbarek,soprano
ECM 1041,Jan Garbarek-Bobo Stenson Quartet - Witchi-Tai-To  ,1974,Jan Garbarek,tenor sax
ECM 1041,Jan Garbarek-Bobo Stenson Quartet - Witchi-Tai-To  ,1974,Bobo Stenson,piano
ECM 1041,Jan Garbarek-Bobo Stenson Quartet - Witchi-Tai-To  ,1974,Palle Danielsson,double bass
ECM 1041,Jan Garbarek-Bobo Stenson Quartet - Witchi-Tai-To  ,1974,Jon Christensen,drums
ECM 1042,Eberhard Weber - The Colours Of Chloe  ,1974,Ack Van Rooyen,flugelhorn
ECM 1042,Eberhard Weber - The Colours Of Chloe  ,1974,Rainer Bruninghaus,piano
ECM 1042,Eberhard Weber - The Colours Of Chloe  ,1974,Rainer Bruninghaus,synthesizer
ECM 1042,Eberhard Weber - The Colours Of Chloe  ,1974,Eberhard Weber,bass
ECM 1042,Eberhard Weber - The Colours Of Chloe  ,1974,Eberhard Weber,cello
ECM 1042,Eberhard Weber - The Colours Of Chloe  ,1974,Eberhard Weber,ocarina
ECM 1042,Eberhard Weber - The Colours Of Chloe  ,1974,Ralf Hubner,drums
ECM 1042,Eberhard Weber - The Colours Of Chloe  ,1974,Peter Giger,drums
ECM 1042,Eberhard Weber - The Colours Of Chloe  ,1974,Peter Giger,percussion
ECM 1042,Eberhard Weber - The Colours Of Chloe  ,1974,Cellos Of The Sudfunk Symphony Orchestra,Stuttgart
ECM 1042,Eberhard Weber - The Colours Of Chloe  ,1974,The Choir Consists Eberhard Weber And Gisela Schauble,NA
ECM 1043,Bennie Maupin - The Jewel In The Lotus  ,1974,Bennie Maupin,reeds
ECM 1043,Bennie Maupin - The Jewel In The Lotus  ,1974,Bennie Maupin,voice
ECM 1043,Bennie Maupin - The Jewel In The Lotus  ,1974,Bennie Maupin,glockenspiel
ECM 1043,Bennie Maupin - The Jewel In The Lotus  ,1974,Herbie Hancock,piano
ECM 1043,Bennie Maupin - The Jewel In The Lotus  ,1974,Herbie Hancock,electric piano
ECM 1043,Bennie Maupin - The Jewel In The Lotus  ,1974,Buster Williams,bass
ECM 1043,Bennie Maupin - The Jewel In The Lotus  ,1974,Billy Hart,drums
ECM 1043,Bennie Maupin - The Jewel In The Lotus  ,1974,Frederick Waits,drums
ECM 1043,Bennie Maupin - The Jewel In The Lotus  ,1974,Frederick Waits,marimba
ECM 1043,Bennie Maupin - The Jewel In The Lotus  ,1974,Bill Summers,percussion
ECM 1043,Bennie Maupin - The Jewel In The Lotus  ,1974,Bill Summers,water filled garbage can
ECM 1043,Bennie Maupin - The Jewel In The Lotus  ,1974,Charles Sullivan,trumpet
ECM 1044,"Julian Priester Pepo Mtoto - Love, Love  ",1974,Julian Priester,bass
ECM 1044,"Julian Priester Pepo Mtoto - Love, Love  ",1974,Julian Priester,tenor
ECM 1044,"Julian Priester Pepo Mtoto - Love, Love  ",1974,Julian Priester,alto trombone
ECM 1044,"Julian Priester Pepo Mtoto - Love, Love  ",1974,Julian Priester,baritone horn
ECM 1044,"Julian Priester Pepo Mtoto - Love, Love  ",1974,Julian Priester,post horn
ECM 1044,"Julian Priester Pepo Mtoto - Love, Love  ",1974,Julian Priester,whistle
ECM 1044,"Julian Priester Pepo Mtoto - Love, Love  ",1974,Julian Priester,flute
ECM 1044,"Julian Priester Pepo Mtoto - Love, Love  ",1974,Julian Priester,cowbell
ECM 1044,"Julian Priester Pepo Mtoto - Love, Love  ",1974,Julian Priester,small percussion
ECM 1044,"Julian Priester Pepo Mtoto - Love, Love  ",1974,Julian Priester,ARP 2600 synthesizer
ECM 1044,"Julian Priester Pepo Mtoto - Love, Love  ",1974,Julian Priester,prototype ARP string synthesizer
ECM 1044,"Julian Priester Pepo Mtoto - Love, Love  ",1974,Mguanda David Johnson,flute
ECM 1044,"Julian Priester Pepo Mtoto - Love, Love  ",1974,Mguanda David Johnson,soprano sax
ECM 1044,"Julian Priester Pepo Mtoto - Love, Love  ",1974,Hadley Caliman,flute
ECM 1044,"Julian Priester Pepo Mtoto - Love, Love  ",1974,Hadley Caliman,soprano
ECM 1044,"Julian Priester Pepo Mtoto - Love, Love  ",1974,Hadley Caliman,tenor sax
ECM 1044,"Julian Priester Pepo Mtoto - Love, Love  ",1974,Hadley Caliman,bass clarinet
ECM 1044,"Julian Priester Pepo Mtoto - Love, Love  ",1974,Bayete Umbra Zindiko,Fender Rhodes piano
ECM 1044,"Julian Priester Pepo Mtoto - Love, Love  ",1974,Bayete Umbra Zindiko,acoustic piano
ECM 1044,"Julian Priester Pepo Mtoto - Love, Love  ",1974,Bayete Umbra Zindiko,Clavinet D
ECM 1044,"Julian Priester Pepo Mtoto - Love, Love  ",1974,Pat Gleeson,ARP 2600 synthesizer
ECM 1044,"Julian Priester Pepo Mtoto - Love, Love  ",1974,Pat Gleeson,ARP Odyssey synthesizer
ECM 1044,"Julian Priester Pepo Mtoto - Love, Love  ",1974,Pat Gleeson,Moog III
ECM 1044,"Julian Priester Pepo Mtoto - Love, Love  ",1974,Pat Gleeson,Oberheim digital sequencer
ECM 1044,"Julian Priester Pepo Mtoto - Love, Love  ",1974,Bill Connors,electric guitar
ECM 1044,"Julian Priester Pepo Mtoto - Love, Love  ",1974,Ron McClure,Fender bass
ECM 1044,"Julian Priester Pepo Mtoto - Love, Love  ",1974,Nyimbo Henry Franklin,Fender bass
ECM 1044,"Julian Priester Pepo Mtoto - Love, Love  ",1974,Nyimbo Henry Franklin,acoustic bass
ECM 1044,"Julian Priester Pepo Mtoto - Love, Love  ",1974,Ndugu Leon Chancler,drums
ECM 1044,"Julian Priester Pepo Mtoto - Love, Love  ",1974,Kamau Eric Gravatt,drums
ECM 1044,"Julian Priester Pepo Mtoto - Love, Love  ",1974,Kamau Eric Gravatt,congas
ECM 1045,Terje Rypdal - Whenever I Seem To Be Far Away  ,1974,Odd Ulleberg,French horn
ECM 1045,Terje Rypdal - Whenever I Seem To Be Far Away  ,1974,Pete Knutsen,Mellotron
ECM 1045,Terje Rypdal - Whenever I Seem To Be Far Away  ,1974,Pete Knutsen,electric piano
ECM 1045,Terje Rypdal - Whenever I Seem To Be Far Away  ,1974,Terje Rypdal,guitar
ECM 1045,Terje Rypdal - Whenever I Seem To Be Far Away  ,1974,Sveinung Hovensjo,6 & 4-string bass
ECM 1045,Terje Rypdal - Whenever I Seem To Be Far Away  ,1974,Jon Christensen,percussion
ECM 1046,Dave Liebman - Drum Ode  ,1975,Dave Liebman,soprano
ECM 1046,Dave Liebman - Drum Ode  ,1975,Dave Liebman,tenor sax
ECM 1046,Dave Liebman - Drum Ode  ,1975,Dave Liebman,alto flute
ECM 1046,Dave Liebman - Drum Ode  ,1975,Richard Beirach,electric piano
ECM 1046,Dave Liebman - Drum Ode  ,1975,John Abercrombie,electric
ECM 1046,Dave Liebman - Drum Ode  ,1975,John Abercrombie,acoustic guitar
ECM 1046,Dave Liebman - Drum Ode  ,1975,Gene Perla,electric
ECM 1046,Dave Liebman - Drum Ode  ,1975,Gene Perla,acoustic bass
ECM 1046,Dave Liebman - Drum Ode  ,1975,Jeff Williams,drums
ECM 1046,Dave Liebman - Drum Ode  ,1975,Bob Moses,drums
ECM 1046,Dave Liebman - Drum Ode  ,1975,Patato Valdez,congas
ECM 1046,Dave Liebman - Drum Ode  ,1975,Patato Valdez,electric congas
ECM 1046,Dave Liebman - Drum Ode  ,1975,Ray Armando,bongos
ECM 1046,Dave Liebman - Drum Ode  ,1975,Ray Armando,percussion
ECM 1046,Dave Liebman - Drum Ode  ,1975,Collin Walcott,tabla
ECM 1046,Dave Liebman - Drum Ode  ,1975,Badal Roy,tabla
ECM 1046,Dave Liebman - Drum Ode  ,1975,Steve Sattan,percussion
ECM 1046,Dave Liebman - Drum Ode  ,1975,Barry Altschul,percussion
ECM 1046,Dave Liebman - Drum Ode  ,1975,Eleana Steinberg,vocals
ECM 1047,John Abercrombie - Timeless  ,1975,Jan Hammer,organ
