dress_code,price,age,requirements_id
Smart Casual,25$,27,225
Trendy Casual,30$,28,226
Black & White,35$,29,227
Clubwear,40$,18,228
Casual,45$,19,229
Smart Casual,50$,20,230
Trendy Casual,55$,21,231
Black & White,60$,22,232
Clubwear,65$,23,233
Casual,70$,24,234
Smart Casual,75$,25,235
Trendy Casual,80$,26,236
Black & White,85$,27,237
Clubwear,90$,28,238
Casual,95$,29,239
